parnumber,maf,cat,cat3,cap,pkg,val,dff,
MP2564KGE4RLC,SRD,电容,,560nF,,275V,±10%,
MP1334KRD4RLC,SRD,电容,,330nF,,300V,±10%,
MP1684KTE4RLC,SRD,电容,,680nF,,440V,±10%,
MP2684KGE3RLC,SRD,电容,,680nF,,275V,±10%,
MP2824KGE4RLC,SRD,电容,,820nF,,275V,±10%,
MP1184KTE4RLC,SRD,电容,,180nF,,440V,±10%,
MP2334KGD3RLC,SRD,电容,,330nF,,275V,±10%,
MP2334KGE3RLC,SRD,电容,,330nF,,275V,±10%,
MP1474KRDARLC,SRD,电容,,470nF,,300V,±10%,
MP2474KGE4RLC,SRD,电容,,470nF,,275V,±10%,
MP2223KGC2RLC,SRD,电容,,22nF,,275V,±10%,
MEY102K275A01,TENTA,电容,,21000PF,,275VAC,,
MP2332KGC2RLC,SRD,电容,,3.3nF,,275V,±10%,
B32654A0334J000,TDK,电容,,330nF,,250V,±5%,
MP2223KGC1RLC,SRD,电容,,22nF,,275V,±10%,
MP2334KGE2RLC,SRD,电容,,330nF,,275V,±10%,
B32923C3105M026,TDK,电容,,21uF,,305V,±20%,
MP1223KRC2RLC,SRD,电容,,22nF,,300V,±10%,
MP2105KGF1RLC,SRD,电容,,1uF,,275V,±10%,
MP2684KGE4RLC,SRD,电容,,680nF,,275V,±10%,
MEY223K275A04,TENTA,电容,,222nF,,275VAC,,
B32923C3225M000,TDK,电容,,22.2uF,,305V,±20%,
B32924C3225M000,TDK,电容,,22.2uF,,305V,±20%,
MP1684KRD8RLC,SRD,电容,,680nF,,300V,±10%,
MP2105KGE3SLC,SRD,电容,,1uF,,275V,±10%,
MP2684KGE2RLC,SRD,电容,,680nF,,275V,±10%,
MP2684KGDAXLC,SRD,电容,,680nF,,275V,±10%,
B32922C3684K000,TDK,电容,,680nF,,305V,±10%,
MP1104KRD2RLC,SRD,电容,,100nF,,300V,,
MP1103KRB1RLC,SRD,电容,,10nF,,300V,±10%,
MP2334KGD4RLC,SRD,电容,,330nF,,275V,±10%,
MP2473KGD1RLC,SRD,电容,,47nF,,275V,±10%,
B32924D3335K000,TDK,电容,,23.3uF,,305V,±10%,
MP2105KVE3RLC,SRD,电容,,1uF,,320V,±10%,
B32924C3335M000,TDK,电容,,23.3uF,,305V,±20%,
MP1474KRF1RLC,SRD,电容,,470nF,,300V,±10%,
MP2105KGE5RLC,SRD,电容,,1uF,,275V,±10%,
MP2155KGF3RLC,SRD,电容,,1.5uF,,275V,±10%,
MEY332K275A02,TENTA,电容,,23300pF,,275VAC,,
B32654A7334K000,TDK,电容,,330nF,,500V,±10%,
MP2105KGE6RLC,SRD,电容,,1uF,,275V,±10%,
MP1125KRE6RLC,SRD,电容,,1.2uF,,300V,±10%,
MP1155KRE5RLC,SRD,电容,,1.5uF,,300V,±10%,
MP2185KGE6RLC,SRD,电容,,1.8uF,,275V,±10%,
B32776E8146K000,TDK,电容,,14uF,,800V,±10%,
MP1474KTDARLC,SRD,电容,,470nF,,440V,±10%,
MP1105KTE7RLC,SRD,电容,,1uF,,440V,±10%,
MP1224KTE2RLC,SRD,电容,,220nF,,440V,±10%,
MP1105KRE6RLC,SRD,电容,,1uF,,300V,±10%,
MP2205K3F1RLC,SRD,电容,,2uF,,280V,±10%,
MEX154K275A55,TENTA,电容,,20.15uF,,275VAC,,
B32654A1154K000,TDK,电容,,150nF,,1600V,±10%,
MP2205KGF3RLC,SRD,电容,,2uF,,275V,±10%,
MP2334KGDARLC,SRD,电容,,330nF,,275V,±10%,
MP2155KGF2RLC,SRD,电容,,1.5uF,,275V,±10%,
MP2225KGE7RLC,SRD,电容,,2.2uF,,275V,±10%,
MP1105KTF2RLC,SRD,电容,,1uF,,440V,,
MP1225KRF3RLC,SRD,电容,,2.2uF,,300V,±10%,
DE1E3KX222MN4AN01F,Murata,电容,,2200pF,,250V,±20%,
MP2225KGF3RLC,SRD,电容,,2.2uF,,275V,±10%,
MP2155KGE6RLC,SRD,电容,,1.5uF,,275V,±10%,
B32923C3225M006,TDK,电容,,22.2uF,,305V,±20%,
MP2405KGF4RLC,SRD,电容,,4uF,,275V,±10%,
MP2205KGF1RLC,SRD,电容,,2uF,,275V,±10%,
MP2475KGF8RLC,SRD,电容,,4.7uF,,275V,±10%,
MP1335KRF8RLC,SRD,电容,,3.3uF,,300V,±10%,
MP2473KGB2RLC,SRD,电容,,47nF,,275V,±10%,
DE2E3KY222MN3AM02F,Murata,电容,,2.2nF,,,±20%,
MP2335KGF8RLC,SRD,电容,,3.3uF,,275V,±10%,
MP2105KGF2RLC,SRD,电容,,1uF,,275V,±10%,
MP2475KGF7RLC,SRD,电容,,4.7uF,,275V,±10%,
MP1474KTE4RLC,SRD,电容,,470nF,,440V,,
MP2305KGF3RLC,SRD,电容,,3uF,,275V,±10%,
MP1274KTF1RLC,SRD,电容,,270nF,,440V,±10%,
MP2684KVDARLC,SRD,电容,,680nF,,320V,±10%,
MP2103KGC2SLC,SRD,电容,,10nF,,275V,±10%,
MP2224KGC3RLC,SRD,电容,,220nF,,275V,±10%,
MEY333K275A01,TENTA,电容,,20.033uF,,275VAC,,
MP2125KGE6RLC,SRD,电容,,1.2uF,,275V,±10%,
MP2474KGDASLC,SRD,电容,,470nF,,275V,±10%,
MEX474K300A01,TENTA,电容,,10.47uF,,300V,,
CS45-E2GA222M-NKA,TDK,电容,,,,,,
B25620B1427A101,TDK,电容,,420uF,,100V,±15%,
CS45-E2GA102M-NKA,TDK,电容,,,,,,
MP1224KTE4RLC,SRD,电容,,220nF,,440V,±10%,
MP2104KGC3SLC,SRD,电容,,100nF,,275V,±10%,
MP2105K3F2ULC,SRD,电容,,1uF,,280V,±10%,
MP2205KGE7RLC,SRD,电容,,2uF,,275V,±10%,
MP2224KGE2RLC,SRD,电容,,220nF,,275V,±10%,
MP2474KGF1RLC,SRD,电容,,470nF,,275V,±10%,
MEY472K275A08,TENTA,电容,,24700pF,,275VAC,,
MEX224K300A07,TENTA,电容,,10.22uF,,300V,,
MP2224KGD3RLC,SRD,电容,,220nF,,275V,,
MP2474KGE2RLC,SRD,电容,,470uF,,275V,,
MP2225KGF2RLC,SRD,电容,,2.2uF,,275V,,
0805B104K101,WTC,电容,,100nF,805,100V,±10%,
CC1206KKX7RDBB102,YAGEO,电容,,1000pF,,2kVDC,±10%,
1206B102K102NT,FH,电容,,1nF,,1KV,±10%,
1206B104K101,WTC,电容,,100nF,,100V,±10%,
0603B222K101,WTC,电容,,2.2nF,603,100V,±10%,
1206B105K101,WTC,电容,,1uF,,100V,±10%,
0805B102K501,WTC,电容,,1nF,805,500V,±10%,
C1210X225K101T,HEC,电容,,2.2uF,,100V,±10%,
0805N101J101,WTC,电容,,100pF,805,100V,±5%,
C1206X102K501T,HEC,电容,,1nF,,500V,±10%,
1206B104K251,WTC,电容,,100nF,,250V,±10%,
1206B103K631,WTC,电容,,10nF,,630V,±10%,
CC1206KKX7RCBB471,YAGEO,电容,,470pF,,1kVDC,±10%,
1206B224K101,WTC,电容,,220nF,,100V,±10%,
C1812X104K102T,HEC,电容,,100nF,,1000V,±10%,
1206B102K202,WTC,电容,,1nF,,2KV,±10%,
C1206X472K201T,HEC,电容,,4.7nF,,200V,±10%,
C0603N220J101T,HEC,电容,,22pF,603,100V,±5%,
C1206X472K251T,HEC,电容,,4.7nF,,250V,±10%,
1206B472K102,WTC,电容,,4.7nF,,1KV,±10%,
C0805N102J101T,HEC,电容,,1nF,805,100V,±5%,
0805B102K201,WTC,电容,,1nF,805,200V,±10%,
0805B103K201,WTC,电容,,10nF,805,200V,±10%,
1206B103K102,WTC,电容,,10nF,,1KV,±10%,
0603B471K101,WTC,电容,,470pF,603,100V,±10%,
1206B103K501,WTC,电容,,10nF,,500V,±10%,
C1206X103K501T,HEC,电容,,10nF,,500V,±10%,
